PC1,PC2,group,sample,ontology_name
-2.75993918576833,5.46530082155706,14BENDDAY,14BENDDAY2,cold acclimation
-4.98540867270644,1.47672606620806,14BENDDAY,14BENDDAY4,cold acclimation
6.73895587923945,1.45498392124743,14BEXDARK,14BEXDARK2,cold acclimation
-1.67311348634469,-5.90393008764494,14BEXDARK,14BEXDARK3,cold acclimation
5.81972206443538,-1.06795331408853,14BEXDARK,14BEXDARK4,cold acclimation
-4.5118128187588,2.90337454781822,4GENDDAY,4GENDDAY2,cold acclimation
-7.45187713205798,0.31008738181444,4GENDDAY,4GENDDAY3,cold acclimation
-6.72921812218878,-1.57027529388426,4GENDDAY,4GENDDAY4,cold acclimation
6.81670362323174,0.475954725400153,4GEXDARK,4GEXDARK2,cold acclimation
6.49331560175627,-0.273590060546523,4GEXDARK,4GEXDARK3,cold acclimation
-9.01654003905103,-2.99845543890664,COLENDDAY,COLENDDAY3,cold acclimation
-5.62302459581894,1.28407510949765,COLENDDAY,COLENDDAY5,cold acclimation
6.42403395440893,0.706742699506532,COLEXDARK,COLEXDARK2,cold acclimation
5.04981787648164,-0.66280623705916,COLEXDARK,COLEXDARK3,cold acclimation
5.40838505314156,-1.60023484091949,COLEXDARK,COLEXDARK4,cold acclimation
-6.25749509573637,-1.20391382351178,14BENDDAY,14BENDDAY2,protein-chromophore linkage
-5.52328177673508,-1.31034632557471,14BENDDAY,14BENDDAY4,protein-chromophore linkage
5.37504234979187,-0.979297360138555,14BEXDARK,14BEXDARK2,protein-chromophore linkage
4.12046049463986,-2.71475293768846,14BEXDARK,14BEXDARK3,protein-chromophore linkage
5.0456291168945,-0.853986944693438,14BEXDARK,14BEXDARK4,protein-chromophore linkage
-5.89690318975957,0.605314178923765,4GENDDAY,4GENDDAY2,protein-chromophore linkage
-6.07382481946109,1.26128784464627,4GENDDAY,4GENDDAY3,protein-chromophore linkage
-5.02287376841411,1.04199388821856,4GENDDAY,4GENDDAY4,protein-chromophore linkage
4.59332460538772,1.26974342112544,4GEXDARK,4GEXDARK2,protein-chromophore linkage
4.50855635863096,1.01173582737238,4GEXDARK,4GEXDARK3,protein-chromophore linkage
-5.03492651243974,-0.00940258656132503,COLENDDAY,COLENDDAY3,protein-chromophore linkage
-4.72328461515773,-0.286819008267754,COLENDDAY,COLENDDAY5,protein-chromophore linkage
4.8409748859297,0.39918498283682,COLEXDARK,COLEXDARK2,protein-chromophore linkage
5.263603436485,0.538439107981047,COLEXDARK,COLEXDARK3,protein-chromophore linkage
4.78499852994407,1.23081973533173,COLEXDARK,COLEXDARK4,protein-chromophore linkage
-5.93263210223147,-2.80213875872087,14BENDDAY,14BENDDAY2,response to disaccharide
-8.99158708198396,-2.73681911510401,14BENDDAY,14BENDDAY4,response to disaccharide
6.4178369880732,-1.40682312479835,14BEXDARK,14BEXDARK2,response to disaccharide
5.29521331208193,-2.75656460864409,14BEXDARK,14BEXDARK3,response to disaccharide
4.92632549936075,-1.19570217506359,14BEXDARK,14BEXDARK4,response to disaccharide
-4.67169647523659,1.57848015426235,4GENDDAY,4GENDDAY2,response to disaccharide
-6.11247252013796,1.51410171408051,4GENDDAY,4GENDDAY3,response to disaccharide
-5.21282417216068,1.13469968493643,4GENDDAY,4GENDDAY4,response to disaccharide
5.3668230429245,0.355584167014867,4GEXDARK,4GEXDARK2,response to disaccharide
5.44852085003088,0.205649494465908,4GEXDARK,4GEXDARK3,response to disaccharide
-7.94168815227947,0.993769141396122,COLENDDAY,COLENDDAY3,response to disaccharide
-3.61632622155068,1.1005370179494,COLENDDAY,COLENDDAY5,response to disaccharide
5.44282277942327,0.812855943730182,COLEXDARK,COLEXDARK2,response to disaccharide
5.1097975867829,1.45136361320093,COLEXDARK,COLEXDARK3,response to disaccharide
4.47188666690335,1.7510068512942,COLEXDARK,COLEXDARK4,response to disaccharide
-5.60525180426289,-2.52885398870617,14BENDDAY,14BENDDAY2,tetrapyrrole metabolic process
-5.90994246733817,-2.53159403243955,14BENDDAY,14BENDDAY4,tetrapyrrole metabolic process
4.26234030210568,-2.23126685113239,14BEXDARK,14BEXDARK2,tetrapyrrole metabolic process
1.46315003749213,-2.04979310342345,14BEXDARK,14BEXDARK3,tetrapyrrole metabolic process
3.28986079164268,-2.7411793995351,14BEXDARK,14BEXDARK4,tetrapyrrole metabolic process
-4.77039374029232,1.35042699154501,4GENDDAY,4GENDDAY2,tetrapyrrole metabolic process
-5.58775920249559,1.68946686768215,4GENDDAY,4GENDDAY3,tetrapyrrole metabolic process
-4.94083056887007,1.93917406677032,4GENDDAY,4GENDDAY4,tetrapyrrole metabolic process
6.25178871195846,1.5792893113115,4GEXDARK,4GEXDARK2,tetrapyrrole metabolic process
5.9597141442202,1.39783203587483,4GEXDARK,4GEXDARK3,tetrapyrrole metabolic process
-5.23435141506331,1.25032013718972,COLENDDAY,COLENDDAY3,tetrapyrrole metabolic process
-4.7023732885395,0.890456421181492,COLENDDAY,COLENDDAY5,tetrapyrrole metabolic process
5.82243391851134,0.668459036895107,COLEXDARK,COLEXDARK2,tetrapyrrole metabolic process
4.54107411981384,0.496019448855131,COLEXDARK,COLEXDARK3,tetrapyrrole metabolic process
5.16054046111753,0.821243057931413,COLEXDARK,COLEXDARK4,tetrapyrrole metabolic process
-4.4289703357162,-2.27999907857889,14BENDDAY,14BENDDAY2,cellular aldehyde metabolic process
-5.63661266200937,-2.64900577931431,14BENDDAY,14BENDDAY4,cellular aldehyde metabolic process
4.11049220028825,-2.23724275290542,14BEXDARK,14BEXDARK2,cellular aldehyde metabolic process
3.02715047953011,-2.2216384742683,14BEXDARK,14BEXDARK3,cellular aldehyde metabolic process
2.5010320045257,-2.65939856108232,14BEXDARK,14BEXDARK4,cellular aldehyde metabolic process
-3.87203101914697,1.43340532403556,4GENDDAY,4GENDDAY2,cellular aldehyde metabolic process
-3.99067862603619,0.527095341479493,4GENDDAY,4GENDDAY3,cellular aldehyde metabolic process
-3.90800469105515,1.83378279556145,4GENDDAY,4GENDDAY4,cellular aldehyde metabolic process
4.67776232062784,0.646329016980112,4GEXDARK,4GEXDARK2,cellular aldehyde metabolic process
4.99518054722609,0.779195924480288,4GEXDARK,4GEXDARK3,cellular aldehyde metabolic process
-5.36220966341014,0.854481629726413,COLENDDAY,COLENDDAY3,cellular aldehyde metabolic process
-3.61671379648675,1.73180656310775,COLENDDAY,COLENDDAY5,cellular aldehyde metabolic process
4.19630648587467,1.58535027093549,COLEXDARK,COLEXDARK2,cellular aldehyde metabolic process
3.72563057211584,0.889707765447977,COLEXDARK,COLEXDARK3,cellular aldehyde metabolic process
3.58166618367229,1.76613001439471,COLEXDARK,COLEXDARK4,cellular aldehyde metabolic process
-4.9004624304346,3.16119630483272,14BENDDAY,14BENDDAY2,pyruvate metabolic process
-5.82160150805144,1.84786406388162,14BENDDAY,14BENDDAY4,pyruvate metabolic process
2.17798673983083,2.88972667207126,14BEXDARK,14BEXDARK2,pyruvate metabolic process
1.57053307802101,1.87166517196693,14BEXDARK,14BEXDARK3,pyruvate metabolic process
1.03539655632929,3.4432996692801,14BEXDARK,14BEXDARK4,pyruvate metabolic process
-2.90453915290245,-1.46021924024589,4GENDDAY,4GENDDAY2,pyruvate metabolic process
-3.16916840275836,-2.49322939595741,4GENDDAY,4GENDDAY3,pyruvate metabolic process
-3.19993694398883,-2.12156102969274,4GENDDAY,4GENDDAY4,pyruvate metabolic process
4.94532807918866,-0.995361734382959,4GEXDARK,4GEXDARK2,pyruvate metabolic process
4.80764040644975,-0.964500730604334,4GEXDARK,4GEXDARK3,pyruvate metabolic process
-4.60359805328992,-1.86771691957156,COLENDDAY,COLENDDAY3,pyruvate metabolic process
-2.95731749507859,-1.35289833259654,COLENDDAY,COLENDDAY5,pyruvate metabolic process
4.49434744956461,-0.643189936597416,COLEXDARK,COLEXDARK2,pyruvate metabolic process
4.31739417439661,-0.881852638132422,COLEXDARK,COLEXDARK3,pyruvate metabolic process
4.20799750272342,-0.433221924251366,COLEXDARK,COLEXDARK4,pyruvate metabolic process
-4.97145151375147,2.67265635106917,14BENDDAY,14BENDDAY2,amino acid transport
-6.26613281622921,0.839377136861093,14BENDDAY,14BENDDAY4,amino acid transport
4.57535812683968,5.13355916604261,14BEXDARK,14BEXDARK2,amino acid transport
3.38800715330061,3.76654055501688,14BEXDARK,14BEXDARK3,amino acid transport
3.51645705925101,4.03610684382996,14BEXDARK,14BEXDARK4,amino acid transport
-3.23140894565709,-0.315980645010883,4GENDDAY,4GENDDAY2,amino acid transport
-3.65490529712505,-1.1820507968804,4GENDDAY,4GENDDAY3,amino acid transport
